2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,5,5,5,5,5,5,5,2,5,8,8,13,5,2
2,5,5,5,5,5,5,5,2,5,5,5,13,13,2
2,5,5,5,5,5,5,5,2,5,5,5,5,13,2
2,5,5,5,5,5,5,5,11,5,5,5,5,5,2
2,5,5,5,5,5,5,5,2,5,5,2,2,2,2
2,5,5,5,5,5,5,5,2,5,5,2,5,5,2
2,5,5,5,5,2,2,2,2,2,2,2,5,5,2
2,5,5,5,5,9,5,10,5,11,5,12,5,22,2
2,5,5,5,5,2,2,2,2,2,2,2,5,5,2
2,5,5,5,5,5,5,5,2,8,8,2,5,5,2
2,2,2,2,2,5,5,5,2,8,8,2,2,2,2
2,8,5,5,2,5,5,5,2,8,8,8,5,8,2
2,8,5,8,2,5,5,5,2,5,8,5,8,5,2
2,8,8,8,2,5,5,5,2,8,5,8,5,8,2
2,8,5,8,2,5,5,5,2,8,8,8,8,5,2
2,5,8,5,2,5,5,5,12,8,8,2,2,8,2
2,5,8,5,2,2,9,2,2,2,8,8,8,5,2
2,8,8,8,5,8,8,2,2,8,5,8,5,8,2
2,8,8,8,8,8,8,8,2,5,8,8,8,5,2
2,5,8,5,5,5,8,5,2,8,8,5,8,8,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
